"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Persons reporting a work-related health problem by sex, age and professional status"	"hsw_pb8"	"dataset"	"02.02.2022"	"12.10.2021"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and size of enterprise"	"hsw_pb9"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and full-time/part-time employment"	"hsw_pb10"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                        Exposure to risk factors for physical health and mental well-being"	"hsw_exp"	"folder"	" "	" "	" "	" "	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and educational attainment level"	"hsw_exp1"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and educational attainment level"	"hsw_exp2"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and factor"	"hsw_exp3"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and factor"	"hsw_exp4"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and NACE Rev. 2 activity"	"hsw_exp5b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and NACE Rev. 2 activity"	"hsw_exp6b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and size of enterprise"	"hsw_exp9"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and size of enterprise"	"hsw_exp10"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                    2012. Transition from work to retirement"	"lfso_12"	"folder"	" "	" "	" "	" "	
"                        Persons who receive a pension (thousand)"	"lfso_12pension"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Persons who receive a pension, by type of pension (%)"	"lfso_12penstyp"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Age at which the person first received an old-age pension (years)"	"lfso_12agepens"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Early retirement among persons who receive an old-age pension (%)"	"lfso_12earlyret"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Persons who reduced their working hours in a move towards retirement (%)"	"lfso_12reduchrs"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Economically inactive persons who receive a pension who would have wished to stay longer in employment (%)"	"lfso_12worklong"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Main reason for persons who receive a pension to continue working (%)"	"lfso_12staywork"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                        Main reason for economically inactive persons who receive a pension to quit working (%)"	"lfso_12reasnot"	"dataset"	"16.02.2019"	"08.02.2021"	"2012"	"2012"	
"                    2011. Access to labour market for disabled people"	"lfso_11"	"folder"	" "	" "	" "	" "	
"                        Employment rate of people by type of disability, sex and age"	"hlth_dlm010"	"dataset"	"09.07.2014"	"08.02.2021"	"2011"	"2011"	
"                        People reporting a limitation in getting to and from work caused by longstanding health problems or difficulties in basic activities by cause, sex and age"	"hlth_dlm170"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Population by type of disability, sex, age and labour status"	"hlth_dlm040"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and professional status"	"hlth_dlm050"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and occupation"	"hlth_dlm130"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        People reporting a limitation in the type of work caused by longstanding health problems or difficulties in basic activities by cause, sex and age"	"hlth_dlm160"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        People reporting a limitation in work by the reason for limitation in work, sex and age"	"hlth_dlm140"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Inactive population by type of disability, sex, age and the main reason for not seeking employment"	"hlth_dlm060"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Activity rate of people by type of disability, sex and age"	"hlth_dlm020"	"dataset"	"09.07.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and working at home"	"hlth_dlm090"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employed people having a longstanding health problem or a difficulty in basic activities by the type of special assistance used, sex and age"	"hlth_dlm180"	"dataset"	"16.07.2014"	"08.02.2021"	"2011"	"2011"	
"                        Unemployment rate of people by type of disability, sex and age"	"hlth_dlm030"	"dataset"	"09.07.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and number of usual weekly hours of work in main job"	"hlth_dlm110"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        People reporting a limitation in the amount of work caused by longstanding health problems or difficulties in basic activities by cause, sex and age"	"hlth_dlm150"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and supervisor responsibility"	"hlth_dlm100"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and full-time/part-time employment"	"hlth_dlm080"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Not employed people having a longstanding health problem or a difficulty in basic activities by the type of special assistance needed, sex and age"	"hlth_dlm190"	"dataset"	"16.07.2014"	"08.02.2021"	"2011"	"2011"	
"                        Employment by type of disability, sex, age and economic activity"	"hlth_dlm120"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                        Not employed people but having a previous work experience by type of disability, sex, age and the main reason for leaving the last job or business"	"hlth_dlm070"	"dataset"	"20.06.2014"	"08.02.2021"	"2011"	"2011"	
"                    2010. Reconciliation between work and family life"	"lfso_10"	"folder"	" "	" "	" "	" "	
"                        Care responsibilities"	"lfso_10care"	"folder"	" "	" "	" "	" "	
"                            Persons taking care of other children or persons in need of care (1 000)"	"lfso_10cregcar"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Persons making weekly use of childcare services for their youngest child (1 000)"	"lfso_10cchildc"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Main childcare related reasons for not working or working part-time (1 000)"	"lfso_10cnowchi"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Main care related reasons for not working or working part-time (1 000)"	"lfso_10cnowcar"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                        Flexibility of working time"	"lfso_10flex"	"folder"	" "	" "	" "	" "	
"                            Employees by flexibility of their working schedule and economic activity (1 000)"	"lfso_10fvareco"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Employees by flexibility of their working schedule and educational attainment level (1 000)"	"lfso_10fvaredu"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Employees by their perceived possibility to vary start and/or stop of the working day for family reasons (1 000)"	"lfso_10fposste"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Employees who can take a whole day off for family reasons, by occupation (1 000)"	"lfso_10fposorg"	"dataset"	"16.02.2019"	"08.02.2021"	"2005"	"2010"	
"                        Career breaks and parental leave"	"lfso_10leav"	"folder"	" "	" "	" "	" "	
"                            Persons who took parental leave to care for their youngest child aged less than eight, by duration of parental leave (1 000)"	"lfso_10lparlea"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Persons who stopped work to care for their youngest child aged less than eight, by duration of absence (1 000)"	"lfso_10lstopwo"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                            Persons who reduced their working time to care for their youngest child aged less than eight (1 000)"	"lfso_10lredwor"	"dataset"	"16.02.2019"	"08.02.2021"	"2010"	"2010"	
"                    2009. Entry of young people into the labour market"	"lfso_09"	"folder"	" "	" "	" "	" "	
"                        Average age when leaving formal education by sex and educational attainment level for persons who left within the last 3 or 5 years"	"edat_lfso_09t1"	"dataset"	"04.04.2013"	"08.02.2021"	"2009"	"2009"	
"                        Average time between leaving formal education and starting the first job by age, sex and educational attainment level for persons who left within the last 3 or 5 years - (months)"	"edat_lfso_09t2"	"dataset"	"04.04.2013"	"08.02.2021"	"2009"	"2009"	
"                        Employment rates by age, sex, educational attainment level and number of years after leaving formal education"	"edat_lfso_09t3"	"dataset"	"04.04.2013"	"08.02.2021"	"2009"	"2009"	
"                    2008. Labour market situation of migrants"	"lfso_08"	"folder"	" "	" "	" "	" "	
"                        Population by country of birth, country of birth of mother and father, sex and age (1 000)"	"lfso_08cobsmf"	"dataset"	"22.02.2019"	"08.02.2021"	"2008"	"2008"	
"                        Population by country of birth, country of birth of parents, sex, age and labour status (1 000)"	"lfso_08cobsp"	"dataset"	"22.02.2019"	"08.02.2021"	"2008"	"2008"	
"                        Population by country of birth, country of birth of parents, sex, age, educational attainment level and labour status (1 000)"	"lfso_08cobsped"	"dataset"	"22.02.2019"	"08.02.2021"	"2008"	"2008"	
"                        Percentage distribution of main reason for migration, by country of birth, sex and age (% of total migrants)"	"lfso_08cobr"	"dataset"	"22.02.2019"	"18.03.2021"	"2008"	"2008"	
"                        Percentage distribution of main reason for migration, years of residence, sex and age (% of total migrants)"	"lfso_08resr"	"dataset"	"22.02.2019"	"18.03.2021"	"2008"	"2008"	
"                    2007. Work related accidents, health problems and hazardous exposure"	"lfso_07"	"folder"	" "	" "	" "	" "	
"                        Accidents at work"	"hsw_ac"	"folder"	" "	" "	" "	" "	
"                            Persons reporting an accident at work by sex, age and educational attainment level"	"hsw_ac1"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work resulting in time off work by sex, age and educational attainment level"	"hsw_ac2"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work resulting in time off work by period off"	"hsw_ac3"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a road traffic accident"	"hsw_ac4"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work by sex, age and NACE Rev. 1.1 activity"	"hsw_ac5a"	"dataset"	"12.10.2021"	"12.10.2021"	"2007"	"2007"	
"                            Persons reporting an accident at work by sex, age and NACE Rev. 2 activity"	"hsw_ac5b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting an accident at work resulting in sick leave by sex, age and NACE Rev. 1.1 activity"	"hsw_ac6a"	"dataset"	"12.10.2021"	"12.10.2021"	"2007"	"2007"	
"                            Persons reporting an accident at work resulting in time off work by sex, age and NACE Rev. 2 activity"	"hsw_ac6b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting an accident at work by sex, age and occupation"	"hsw_ac7"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work by sex, age and professional status"	"hsw_ac8"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work by sex, age and size of enterprise"	"hsw_ac9"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work by sex and full-time/part-time employment"	"hsw_ac10"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting an accident at work by sex and atypical working time"	"hsw_ac11"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                        Work-related health problems"	"hsw_pb"	"folder"	" "	" "	" "	" "	
"                            Persons reporting a work-related health problem by sex, age and educational attainment level"	"hsw_pb1"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem resulting in time off work by sex, age and educational attainment level"	"hsw_pb2"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem resulting in time off work by period off"	"hsw_pb3"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem resulting in limitations of daily activities"	"hsw_pb4"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and type of problem"	"hsw_pb5"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and NACE Rev. 1.1 activity"	"hsw_pb6a"	"dataset"	"12.10.2021"	"12.10.2021"	"2007"	"2007"	
"                            Persons reporting a work-related health problem by sex, age and NACE Rev. 2 activity"	"hsw_pb6b"	"dataset"	"02.02.2022"	"12.10.2021"	"2013"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and occupation"	"hsw_pb7"	"dataset"	"02.02.2022"	"12.10.2021"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and professional status"	"hsw_pb8"	"dataset"	"02.02.2022"	"12.10.2021"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and size of enterprise"	"hsw_pb9"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting a work-related health problem by sex, age and full-time/part-time employment"	"hsw_pb10"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                        Exposure to risk factors for physical health and mental well-being"	"hsw_exp"	"folder"	" "	" "	" "	" "	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and educational attainment level"	"hsw_exp1"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and educational attainment level"	"hsw_exp2"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and factor"	"hsw_exp3"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and factor"	"hsw_exp4"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and NACE Rev. 2 activity"	"hsw_exp5b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and NACE Rev. 2 activity"	"hsw_exp6b"	"dataset"	"19.04.2023"	"19.04.2023"	"2013"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect mental well-being by sex, age and size of enterprise"	"hsw_exp9"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                            Persons reporting exposure to risk factors that can adversely affect physical health by sex, age and size of enterprise"	"hsw_exp10"	"dataset"	"19.04.2023"	"19.04.2023"	"2007"	"2020"	
"                    2006. Transition from work into retirement"	"lfso_06"	"folder"	" "	" "	" "	" "	
"                        Number of employed persons who reduced their working hours in a move to full retirement - by sex, age and full time/part time work (1 000)"	"lfso_06redeftpt"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of employed persons - by planned age for stopping work, sex and full time/part time work (1 000)"	"lfso_06plagftpt"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of employed persons who would stay longer at work (or not) if more flexible working time arrangements were available - by sex and occupation (1 000)"	"lfso_06flexisco"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of employed persons who would stay longer at work (or not) if they could update their skills - by sex and occupation (1 000)"	"lfso_06opskisco"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of employed persons who would stay longer at work (or not) if their workplace was healthier and/or safer - by sex and occupation (1 000)"	"lfso_06hlsaisco"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Main financial incentives for employed persons who are entitled to receive an individual retirement pension to stay at work - by sex and occupation (1 000)"	"lfso_06finiisco"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work"	"lfso_06finiagps"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Employed persons, average number of years spent working, by sex and economic activity (NACE Rev. 1.1)"	"lfso_06yrspna11"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Employed persons, average number of years spent working of employed persons - by sex and occupation"	"lfso_06yrspisco"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Average number of years spent working - by sex and main financial incentive to stay at work"	"lfso_06finiyrsp"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of not employed persons having reduced their working hours in a move to full retirement - by sex and age (1 000)"	"lfso_06rednsage"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Main reasons for retirement or early retirement - by sex and main labour status just after leaving last job (1 000)"	"lfso_06reasstaf"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of not employed persons who would have stayed longer at work (or not) if more flexible working time arrangements had been available - by sex and occupation (previous job) (1 000)"	"lfso_06flexispr"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of not employed persons who would have stayed longer at work (or not) if they had had more opportunities to update their skills - by sex and occupation (previous job) (1 000)"	"lfso_06opskispr"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Number of not employed persons who would have stayed longer at work (or not) if their workplace had been healthier and/or safer - by sex and occupation (previous job) (1 000)"	"lfso_06hlsaispr"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Average age at which not employed persons started receiving a retirement pension - by sex and main labour status just after leaving last job"	"lfso_06stafagps"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Average age at which not employed persons started receiving a retirement pension - by sex and main reason for retirement or early retirement"	"lfso_06reasagps"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Average age at which not employed persons started receiving a retirement pension - by granting of other individual benefits and sex"	"lfso_06otbnagps"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Not employed persons, average number of years spent working, by sex and economic activity (previous job, NACE Rev. 1.1)"	"lfso_06yrspnapr"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Not employed persons, average number of years spent working - by sex and occupation (previous job)"	"lfso_06yrspispr"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                        Not employed persons, average number of years spent working - by granting of other individual benefits and sex"	"lfso_06otbnyrsp"	"dataset"	"14.03.2014"	"08.02.2021"	"2006"	"2006"	
"                    2005. Reconciliation between work and family life"	"lfso_05"	"folder"	" "	" "	" "	" "	
"                        Number of persons between 15 and 64 years old regularly taking care of other children up to 14 or people older than 15 in need of care"	"lfso_05regcp"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of persons between 15 and 64 years old wishing to change the organisation of their working life and care responsibilities"	"lfso_05changp"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Main childcare-related reasons given by persons between 15 and 64 years old for not working or not working more"	"lfso_05nowrep"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Main type of childcare used by employed persons between 15 and 64 years old for own/spouse's children up to 14 while working"	"lfso_05typece"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old regularly taking care of other children or people in need of care"	"lfso_05regce"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old wishing to change the organisation of their working life and care responsibilities"	"lfso_05change"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Main childcare-related reasons given by employed persons between 15 and 64 years old for not working or not working more"	"lfso_05nowree"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old having to make working time arrangements over the last 12 months to care for children, by working time pattern"	"lfso_05reduc1"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old having to make working time arrangements over the last 12 months to care for children, by occupation"	"lfso_05reduc2"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Main reasons (linked with care of other people in need of care) given by employed persons between 15 and 64 years old for not working or not working more, by working time pattern"	"lfso_05nowre1"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Main reasons (linked with care of other people in need of care) given by employed persons between 15 and 64 years old for not working or not working more, by occupation"	"lfso_05nowre2"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old who can vary start/end of working day for family reasons, by economic activity"	"lfso_05posse1"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old who can vary start/end of working day for family reasons, by occupation"	"lfso_05posse2"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old who can take whole days off for family reasons, by economic activity"	"lfso_05posoe1"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old who can take whole days off for family reasons, by occupation"	"lfso_05posoe2"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by educational attainment level"	"lfso_05timee1"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by economic activity"	"lfso_05timee2"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Number of employed persons between 15 and 64 years old taking time off over the last 12 months for family sickness or emergencies, by occupation"	"lfso_05timee3"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Average usual working hours of employed persons between 15 and 64 years old by main type of childcare used for own/spouse's children up to 14 while working"	"lfso_05typech"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Average usual working hours of employed persons between 15 and 64 years old by regular care of other children or people in need of care"	"lfso_05regch"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Average usual working hours of employed persons between 15 and 64 years old by wish to change the organisation of their working life and care responsibilities"	"lfso_05changh"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                        Average usual working hours of employed persons between 15 and 64 years old by main childcare-related reasons given for not working or not working more"	"lfso_05nowreh"	"dataset"	"12.03.2014"	"08.02.2021"	"2005"	"2005"	
"                    LFS ad-hoc modules - Historical data"	"lfso_his"	"folder"	" "	" "	" "	" "	
"                        2004. Work organisation and working time arrangements"	"lfso_04"	"folder"	" "	" "	" "	" "	
"                            Number of self-employed persons who can control their own work methods and schedule, by sex, age and occupation"	"lfso_04ownmisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of self-employed persons who work for one single client or customer, by sex, age and economic activity"	"lfso_04sincna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Shift work patterns used by employees, by sex, age and occupation"	"lfso_04shipisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Shift work patterns used by employees, by sex, age and economic activity"	"lfso_04shipna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees with variable working hours, by sex, age and occupation"	"lfso_04vawkisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees with variable working hours, by sex, age and economic activity"	"lfso_04vawkna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average usual working hours of employees, by possibility to have variable working hours, sex and age"	"lfso_04vawkhwus"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees having annualised working hours by sex, age, occupation and economic activity"	"lfso_04anwkisna"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees working on call by sex, age, occupation and economic activity"	"lfso_04oncwisna"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of part-time employees, by working time pattern compared with 'full-timers', sex, age and occupation"	"lfso_04wktpisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of part-time employees by working time pattern compared with 'full-timers', sex, age and economic activity"	"lfso_04wktpna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees with the possibility to work variable hours in the reference week, by sex, age and occupation"	"lfso_04vahrisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average usual working hours of employees, by possibility to work variable hours in the reference week, sex and age"	"lfso_04vahrhwus"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees finding it convenient for personal life to do shift work or on-call work, by sex, age and occupation"	"lfso_04wk1pisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees finding it convenient for personal life to do shift work or on-call work, by sex, age and economic activity"	"lfso_04wk1pna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees finding it convenient for personal life to work in the evening, or at night, or during weekends, by sex, age and occupation"	"lfso_04wk2pisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Number of employees finding it convenient for personal life to work in the evening, or at night, or during weekends, by sex, age and economic activity"	"lfso_04wk2pna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Percentage of employees working overtime, by sex, age and occupation"	"lfso_04peovisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Percentage of employees working overtime, by sex, age and economic activity"	"lfso_04peovna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average number of overtime hours of employees, by sex, age and occupation"	"lfso_04avovisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average number of overtime hours of employees, by sex, age and economic activity"	"lfso_04avovna11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Percentage of employees working paid overtime, by sex, age and occupation"	"lfso_04pepoisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Percentage of employees working paid overtime, by sex, age and economic activity"	"lfso_04pepona11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average number of paid overtime hours of employees, by sex, age and occupation"	"lfso_04avpoisco"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                            Average number of paid overtime hours of employees, by sex, age and economic activity"	"lfso_04avpona11"	"dataset"	"10.03.2014"	"08.02.2021"	"2004"	"2004"	
"                        2003. Lifelong learning"	"lfso_03"	"folder"	" "	" "	" "	" "	
"                            Participation in any learning activities by sex and age"	"trng_any1"	"dataset"	"27.03.2009"	"08.02.2021"	"2003"	"2003"	
"                            Participation in any learning activities by educational attainment level and labour status"	"trng_any2"	"dataset"	"27.03.2009"	"08.02.2021"	"2003"	"2003"	
